,mL_analyzed,max,0μm,1μm,2μm,3μm,4μm,5μm,6μm,7μm,8μm,9μm,10μm,11μm,12μm,13μm,14μm,15μm,16μm,17μm,18μm,19μm,20μm,21μm,22μm,23μm,24μm,25μm,26μm,27μm,28μm,29μm,30μm,31μm,32μm,33μm,34μm,35μm,36μm,37μm,38μm,39μm,40μm,41μm,42μm,43μm,44μm,45μm,46μm,47μm,48μm,49μm,50μm,51μm,52μm,53μm,54μm,55μm,56μm,57μm,58μm,59μm,60μm,61μm,62μm,63μm,64μm,65μm,66μm,67μm,68μm,69μm,70μm,71μm,72μm,73μm,74μm,75μm,76μm,77μm,78μm,79μm,80μm,81μm,82μm,83μm,84μm,85μm,86μm,87μm,88μm,89μm,90μm,91μm,92μm,93μm,94μm,95μm,96μm,97μm,98μm,99μm,100μm,101μm,102μm,103μm,104μm,105μm,106μm,107μm,108μm,109μm,110μm,111μm,112μm,113μm,114μm,115μm,116μm,117μm,118μm,119μm,120μm,121μm,122μm,123μm,124μm,125μm,126μm,127μm,128μm,129μm,130μm,131μm,132μm,133μm,134μm,135μm,136μm,137μm,138μm,139μm,140μm,141μm,142μm,143μm,144μm,145μm,146μm,147μm,148μm,149μm,150μm,151μm,152μm,153μm,154μm,155μm,156μm,157μm,158μm,159μm,160μm,161μm,162μm,163μm,164μm,165μm,166μm,167μm,168μm,169μm,170μm,171μm,172μm,173μm,174μm,175μm,176μm,177μm,178μm,179μm,180μm,181μm,182μm,183μm,184μm,185μm,186μm,187μm,188μm,189μm,190μm,191μm,192μm,193μm,194μm,195μm,196μm,197μm,198μm,199μm
D20210710T005851,4.918658954166667,3049.611721360206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.3074480906804,203.3074480906804,609.9223442720412,203.3074480906804,203.3074480906804,406.6148961813608,609.9223442720412,203.3074480906804,203.3074480906804,813.2297923627216,1829.7670328161234,1626.4595847254432,2846.3042732695258,3049.611721360206,2033.0744809068037,1829.7670328161234,609.9223442720412,1016.5372404534019,813.2297923627216,609.9223442720412,1423.1521366347629,1626.4595847254432,813.2297923627216,406.6148961813608,813.2297923627216,813.2297923627216,813.2297923627216,203.3074480906804,0.0,203.3074480906804,203.3074480906804,0.0,0.0,203.3074480906804,609.9223442720412,1219.8446885440824,609.9223442720412,406.6148961813608,609.9223442720412,203.3074480906804,406.6148961813608,813.2297923627216,406.6148961813608,609.9223442720412,0.0,406.6148961813608,0.0,0.0,406.6148961813608,203.3074480906804,0.0,0.0,0.0,203.3074480906804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.3074480906804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D20210709T221233,4.930837654166666,2636.468874414211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.4158940955872,1419.6370862230367,202.8052980318624,811.2211921274496,405.6105960637248,405.6105960637248,608.4158940955872,1419.6370862230367,1216.8317881911744,1825.2476822867616,2636.468874414211,1419.6370862230367,2636.468874414211,2433.6635763823488,1622.4423842548993,1014.0264901593122,608.4158940955872,202.8052980318624,0.0,405.6105960637248,0.0,811.2211921274496,0.0,405.6105960637248,202.8052980318624,0.0,0.0,0.0,202.8052980318624,405.6105960637248,0.0,202.8052980318624,0.0,405.6105960637248,202.8052980318624,405.6105960637248,0.0,0.0,0.0,202.8052980318624,202.8052980318624,0.0,0.0,0.0,202.8052980318624,405.6105960637248,202.8052980318624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D20210710T003505,4.889589283333334,5521.936186344376,0.0,0.0,0.0,0.0,0.0,409.0323100995834,818.0646201991668,409.0323100995834,0.0,409.0323100995834,204.5161550497917,204.5161550497917,409.0323100995834,204.5161550497917,818.0646201991668,409.0323100995834,818.0646201991668,1840.6453954481256,2454.1938605975006,4908.387721195001,5521.936186344376,2454.1938605975006,2454.1938605975006,204.5161550497917,2454.1938605975006,1840.6453954481256,1636.1292403983336,1840.6453954481256,1022.5807752489586,1431.613085348542,1227.0969302987503,204.5161550497917,613.5484651493751,0.0,204.5161550497917,409.0323100995834,613.5484651493751,204.5161550497917,204.5161550497917,204.5161550497917,1227.0969302987503,818.0646201991668,1636.1292403983336,1227.0969302987503,1022.5807752489586,2045.1615504979172,1022.5807752489586,613.5484651493751,409.0323100995834,818.0646201991668,409.0323100995834,818.0646201991668,204.5161550497917,0.0,204.5161550497917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D20210709T212501,4.881717970833334,9218.066317812758,0.0,0.0,0.0,0.0,0.0,204.84591817361687,0.0,1433.921427215318,3892.07244529872,9218.066317812758,614.5377545208506,1433.921427215318,1024.2295908680842,819.3836726944675,819.3836726944675,1433.921427215318,1433.921427215318,2253.3050999097854,1638.767345388935,3277.53469077787,1843.6132635625518,1433.921427215318,2662.996936257019,1024.2295908680842,614.5377545208506,819.3836726944675,204.84591817361687,1024.2295908680842,204.84591817361687,614.5377545208506,409.69183634723373,409.69183634723373,0.0,0.0,204.84591817361687,0.0,0.0,0.0,409.69183634723373,204.84591817361687,204.84591817361687,614.5377545208506,204.84591817361687,204.84591817361687,409.69183634723373,819.3836726944675,204.84591817361687,409.69183634723373,0.0,0.0,409.69183634723373,0.0,409.69183634723373,0.0,0.0,0.0,0.0,204.84591817361687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.84591817361687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.84591817361687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D20210709T230005,4.875206666666667,5127.98773658826,0.0,0.0,0.0,0.0,0.0,0.0,410.23901892706084,820.4780378541217,410.23901892706084,820.4780378541217,205.11950946353042,205.11950946353042,820.4780378541217,410.23901892706084,1640.9560757082434,2666.5536230258954,2871.673132489426,4717.748717661199,4307.5096987341385,2461.434113562365,5127.98773658826,3692.1511703435476,5127.98773658826,1640.9560757082434,1025.5975473176522,1025.5975473176522,820.4780378541217,410.23901892706084,820.4780378541217,410.23901892706084,410.23901892706084,205.11950946353042,0.0,615.3585283905912,205.11950946353042,410.23901892706084,410.23901892706084,0.0,205.11950946353042,205.11950946353042,205.11950946353042,615.3585283905912,1230.7170567811825,820.4780378541217,615.3585283905912,205.11950946353042,820.4780378541217,615.3585283905912,0.0,410.23901892706084,205.11950946353042,0.0,410.23901892706084,0.0,0.0,0.0,0.0,0.0,410.23901892706084,205.11950946353042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.11950946353042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.11950946353042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D20210709T223619,4.903462458333333,4078.7505094508087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.93752547254047,407.87505094508094,1427.5626783077832,203.93752547254047,0.0,611.8125764176214,407.87505094508094,1223.6251528352427,2447.2503056704854,3059.062882088107,2651.187831143026,2855.1253566155665,3466.9379330331876,4078.7505094508087,3874.8129839782687,2039.3752547254044,2039.3752547254044,815.7501018901619,407.87505094508094,1019.6876273627022,407.87505094508094,203.93752547254047,407.87505094508094,815.7501018901619,0.0,0.0,407.87505094508094,0.0,0.0,203.93752547254047,407.87505094508094,203.93752547254047,203.93752547254047,0.0,203.93752547254047,0.0,0.0,407.87505094508094,0.0,203.93752547254047,0.0,0.0,407.87505094508094,0.0,203.93752547254047,0.0,0.0,0.0,0.0,0.0,0.0,203.93752547254047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D20210709T232350,4.920953595833334,3048.1896867917612,0.0,0.0,0.0,0.0,0.0,0.0,203.2126457861174,203.2126457861174,406.4252915722348,406.4252915722348,203.2126457861174,0.0,203.2126457861174,609.6379373583522,812.8505831444696,812.8505831444696,609.6379373583522,3048.1896867917612,1625.7011662889392,1219.2758747167045,2641.7643952195263,3048.1896867917612,1219.2758747167045,203.2126457861174,812.8505831444696,2032.1264578611742,1016.0632289305871,609.6379373583522,203.2126457861174,609.6379373583522,609.6379373583522,203.2126457861174,1016.0632289305871,203.2126457861174,0.0,203.2126457861174,0.0,0.0,203.2126457861174,203.2126457861174,0.0,609.6379373583522,0.0,1016.0632289305871,812.8505831444696,812.8505831444696,406.4252915722348,203.2126457861174,609.6379373583522,0.0,203.2126457861174,203.2126457861174,203.2126457861174,0.0,0.0,203.2126457861174,0.0,203.2126457861174,0.0,0.0,0.0,0.0,0.0,0.0,203.2126457861174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.2126457861174,0.0,0.0,203.2126457861174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.2126457861174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D20210710T001120,4.931868083333333,2635.918029505284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.52585069312056,202.76292534656028,608.2887760396809,202.76292534656028,405.52585069312056,0.0,405.52585069312056,202.76292534656028,608.2887760396809,608.2887760396809,405.52585069312056,1419.3404774259222,2027.629253465603,2635.918029505284,2027.629253465603,1824.8663281190427,2635.918029505284,1013.8146267328015,1216.5775520793618,405.52585069312056,202.76292534656028,608.2887760396809,405.52585069312056,202.76292534656028,202.76292534656028,1013.8146267328015,405.52585069312056,0.0,202.76292534656028,202.76292534656028,0.0,0.0,0.0,202.76292534656028,0.0,1419.3404774259222,405.52585069312056,608.2887760396809,811.0517013862411,405.52585069312056,405.52585069312056,202.76292534656028,405.52585069312056,405.52585069312056,405.52585069312056,0.0,202.76292534656028,202.76292534656028,202.76292534656028,0.0,0.0,202.76292534656028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.76292534656028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D20210709T214847,4.93108885,2433.539602515984,202.79496687633198,0.0,0.0,0.0,0.0,0.0,608.384900628996,0.0,608.384900628996,2433.539602515984,202.79496687633198,405.58993375266397,0.0,405.58993375266397,608.384900628996,1622.3597350106559,608.384900628996,1419.564768134324,1622.3597350106559,1419.564768134324,1013.9748343816599,1825.1547018869878,405.58993375266397,608.384900628996,1013.9748343816599,405.58993375266397,608.384900628996,405.58993375266397,1216.769801257992,202.79496687633198,405.58993375266397,0.0,202.79496687633198,405.58993375266397,202.79496687633198,0.0,0.0,202.79496687633198,202.79496687633198,0.0,202.79496687633198,202.79496687633198,0.0,202.79496687633198,202.79496687633198,608.384900628996,1013.9748343816599,405.58993375266397,0.0,0.0,0.0,0.0,0.0,202.79496687633198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.79496687633198,0.0,0.0,202.79496687633198,0.0,0.0,0.0,0.0,0.0,0.0,202.79496687633198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D20210709T234736,4.896437245833334,3880.372410811191,0.0,0.0,0.0,0.0,0.0,0.0,204.2301268847995,612.6903806543985,0.0,816.920507539198,0.0,204.2301268847995,408.460253769599,408.460253769599,1633.841015078396,1021.1506344239975,1429.6108881935966,1429.6108881935966,1838.0711419631957,3880.372410811191,3267.682030156792,3676.1422839263914,1838.0711419631957,2450.761522617594,2450.761522617594,1633.841015078396,1225.380761308797,1021.1506344239975,1429.6108881935966,1225.380761308797,612.6903806543985,408.460253769599,0.0,408.460253769599,204.2301268847995,0.0,0.0,204.2301268847995,204.2301268847995,612.6903806543985,204.2301268847995,204.2301268847995,816.920507539198,816.920507539198,408.460253769599,816.920507539198,1021.1506344239975,1225.380761308797,816.920507539198,1021.1506344239975,612.6903806543985,612.6903806543985,0.0,204.2301268847995,0.0,0.0,0.0,204.2301268847995,204.2301268847995,0.0,0.0,0.0,204.2301268847995,0.0,0.0,0.0,0.0,0.0,204.2301268847995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.2301268847995,0.0,0.0,0.0,0.0,0.0,204.2301268847995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.2301268847995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
