,a,k,R^2,max_ESD_diff,capture_percent,bead_run,humidity
D20210710T005851,51580.0,-1.3208,0.4777768051467576,-7,0.9884393063583815,False,9.901456
D20210709T221233,138670.0,-1.6888,0.5259627360909602,-5,1.0,False,10.474551
D20210710T003505,68465.0,-1.2908,0.40774084348377604,-7,0.9960474308300395,False,10.046957
D20210709T212501,142450.0,-1.6459,0.5918228314738729,4,1.0,False,9.708444
D20210709T230005,248120.0,-1.642,0.5431709937412106,-7,1.0,False,10.432979
D20210709T223619,270560.0,-1.7514,0.5621562623259064,-7,0.9946808510638298,False,10.471582
D20210709T232350,80277.0,-1.4695,0.4912967617165851,-4,1.0,False,10.275601
D20210710T001120,42794.0,-1.3176,0.4105570064153897,-7,1.0,False,10.091498
D20210709T214847,82053.0,-1.5813,0.589612759832014,4,0.992,False,10.27857
D20210709T234736,90169.0,-1.3919,0.5388063897750132,-6,1.0,False,10.263723
